 ëçîMó  ì˜óﬁ ì˚êªïi éóﬁ ëÂí∞ä‡ íºí∞ä‡
   2336   40     89   38   2.98   2.53
   2578  168    127  128   3.92   1.90
   2431  205    117   42   6.75   2.84
   1895   98    111   41   3.51   0.88
   2352  178    100  192  13.76   2.66
   2342  140     92   44   4.12   1.61
   3349  672    413  121  14.95   4.38
   2225  175    167   61   3.27   1.39
   2869  187    218   56   9.69   3.89
   1915   99     20   19   2.74   1.11
   2135   88     17   11   1.84   0.13
   3364  486    272  194  13.53   7.88
   3398  443    254  192  11.02  11.92
   3192  291    590   70   5.48   5.32
   3264  485    293  211  13.35   9.74
   3246  311    190  142  11.35   9.12
   3457  490    438   95  14.67   7.42
   3364  486    272  194  13.12   8.72
   3107  285    483   49   7.93   6.34
   2861  179     91  228   7.86   6.46
   2848  192    159  202   6.86   4.27
   3521  447    436  227  12.81   7.03
   3201  161    182  104   4.11   4.91
   3517  753    422  128  16.08   9.59
   3190  575    388  109  14.60   5.91
   2200  120    142   23   3.99   0.71
   1940   79    101   37   1.28   0.59
   1819   55     94   26   0.89   0.57
   2570  144     93   68   1.94   0.66
   2436  151    133   12   8.53   5.72
   2938  720    364   91  12.13   6.07
   2468  291     47   25   8.58   4.02
   2551   55     47   75   5.01   6.00
   2416  146    112   19   9.05   6.18
   3366  487    337  218  13.51   9.99
   3242  229    136  100   4.07   5.15
   3409  474    402  131  11.59  10.99
   3351  450    254  317  13.32   7.45
   2862  166    181   77   5.69   0.66
   3093  459    730   60   9.96   2.73
   3079  208    186  262  10.58   6.38
   3239  406    386   72  11.79   6.90
   3260  327    385  131   5.46   5.49
   2903  189    199   74   3.33   3.45
   3177  416    444  118  12.17   6.87
   3396  529    371  144  13.04   8.56
   3256  683    345  146  15.32   6.34
